PLAYER NAME,NATIONALITY,RUNS MADE TILL THAT YEAR 
Faruk Ahmed,Bangladesh,14(till1988),89(till1990),105(till1999),
Wahidul Gani,Bangladesh,0(till1988),
Enamul Haque,Bangladesh,39(till1990),55(till1995),67(till1997),71(till1998),163(till1999),177(till2000),190(till2001),236(till2002),
Jahangir Alam Talukdar,Bangladesh,7(till1990),
Saiful Islam,Bangladesh,0(till1990),30(till1995),37(till1997),
Anisur Rahman,Bangladesh,2(till1995),2(till1998),
Javed Omar,Bangladesh,27(till1995),48(till1998),95(till1999),251(till2000),437(till2001),530(till2002),567(till2003),726(till2004),951(till2005),1166(till2006),1312(till2007),
Khaled Mashud,Bangladesh,46(till1995),86(till1997),117(till1998),259(till1999),295(till2000),346(till2001),659(till2002),876(till2003),1275(till2004),1536(till2005),1818(till2006),
Mohammad Rafique,Bangladesh,15(till1995),38(till1997),194(till1998),243(till1999),267(till2000),318(till2001),369(till2002),562(till2003),712(till2004),872(till2005),1081(till2006),1191(till2007),
Sajjad Ahmed,Bangladesh,15(till1995),
Habibul Bashar,Bangladesh,16(till1995),98(till1997),113(till1998),138(till1999),237(till2000),431(till2001),548(till2002),776(till2003),1042(till2004),1379(till2005),1840(till2006),2168(till2007),
Hasibul Hossain,Bangladesh,1(till1995),62(till1997),96(till1998),145(till1999),161(till2000),161(till2001),171(till2003),172(till2004),
Naimur Rahman,Bangladesh,3(till1995),58(till1997),134(till1998),280(till1999),372(till2000),441(till2001),488(till2002),
Sheikh Salahuddin,Bangladesh,24(till1997),
Mafizur Rahman,Bangladesh,53(till1997),
Zakir Hasan,Bangladesh,0(till1997),
Jahangir Alam,Bangladesh,4(till1997),4(till1999),
Shahriar Hossain,Bangladesh,40(till1997),41(till1998),347(till1999),360(till2000),362(till2004),
Shafiuddin Ahmed,Bangladesh,11(till1997),17(till1998),19(till1999),22(till2000),
Khaled Mahmud,Bangladesh,132(till1998),235(till1999),239(till2000),302(till2001),465(till2002),708(till2003),889(till2004),955(till2005),991(till2006),
Sanwar Hossain,Bangladesh,22(till1998),85(till2001),161(till2002),290(till2003),
Shariful Haque,Bangladesh,10(till1998),
Zakir Hossain,Bangladesh,0(till1998),
Mehrab Hossain,Bangladesh,6(till1998),327(till1999),351(till2001),413(till2002),449(till2003),
Morshed Ali Khan,Bangladesh,2(till1998),
Al Sahariar,Bangladesh,99(till1999),112(till2000),206(till2001),320(till2002),374(till2003),
Manjural Islam,Bangladesh,14(till1999),14(till2000),16(till2001),42(till2002),53(till2003),
Aminul Islam jnr,Bangladesh,1(till1999),
Mahbubur Rahman,Bangladesh,3(till1999),
Neeyamur Rashid,Bangladesh,5(till1999),
Ahmed Kamal,Bangladesh,11(till1999),
Mushfiqur Rahman,Bangladesh,11(till2000),60(till2001),182(till2003),360(till2004),
Mohammad Sharif,Bangladesh,36(till2001),47(till2002),53(till2007),
Mohammad Ashraful,Bangladesh,46(till2001),171(till2002),326(till2003),658(till2004),1053(till2005),1507(till2006),2016(till2007),2692(till2008),3140(till2009),3360(till2010),3397(till2011),3468(till2013),
Fahim Muntasir,Bangladesh,1(till2001),6(till2002),
Mashrafe Mortaza,Bangladesh,20(till2001),72(till2003),142(till2004),218(till2005),513(till2006),746(till2007),1038(till2008),1046(till2009),1177(till2010),1177(till2011),1220(till2012),1240(till2013),1346(till2014),1442(till2015),1540(till2016),1604(till2017),1728(till2018),1752(till2019),
Tushar Imran,Bangladesh,6(till2001),277(till2002),403(till2003),523(till2005),547(till2006),574(till2007),
Tareq Aziz,Bangladesh,7(till2002),11(till2003),26(till2004),
Alok Kapali,Bangladesh,228(till2002),712(till2003),814(till2004),818(till2005),964(till2006),1170(till2008),1235(till2011),
Tapash Baisya,Bangladesh,73(till2002),157(till2003),246(till2004),318(till2005),318(till2006),336(till2007),
Hannan Sarkar,Bangladesh,28(till2002),270(till2003),383(till2004),
Mazharul Haque,Bangladesh,3(till2002),
Talha Jubair,Bangladesh,1(till2002),5(till2003),
Anwar Hossain Monir,Bangladesh,0(till2002),
Rafiqul Islam,Bangladesh,0(till2002),
Ehsanul Haque,Bangladesh,29(till2002),57(till2003),
Anwar Hossain,Bangladesh,42(till2002),
Mohammad Salim,Bangladesh,9(till2003),
Rajin Saleh,Bangladesh,269(till2003),585(till2004),710(till2005),1005(till2006),
Jamaluddin Ahmed,Bangladesh,18(till2003),
Manjural Islam Rana,Bangladesh,46(till2003),247(till2004),308(till2005),331(till2006),
Nafees Iqbal,Bangladesh,13(till2003),123(till2004),309(till2005),
Moniruzzaman,Bangladesh,1(till2003),
Faisal Hossain,Bangladesh,35(till2004),43(till2010),
Abdur Razzak,Bangladesh,39(till2004),39(till2005),125(till2006),242(till2007),467(till2008),487(till2009),563(till2010),650(till2011),663(till2012),758(till2013),779(till2014),
Aftab Ahmed,Bangladesh,143(till2004),442(till2005),1226(till2006),1745(till2007),1874(till2008),1954(till2010),
Nazmul Hossain,Bangladesh,12(till2004),30(till2005),30(till2006),30(till2008),35(till2009),35(till2010),35(till2011),35(till2012),
Enamul Haque jnr,Bangladesh,4(till2005),12(till2009),
Shahriar Nafees,Bangladesh,254(till2005),1287(till2006),1565(till2007),1857(till2008),1976(till2010),2201(till2011),
Syed Rasel,Bangladesh,17(till2005),30(till2006),56(till2007),64(till2008),72(till2009),81(till2010),
Shahadat Hossain,Bangladesh,14(till2006),30(till2007),58(till2008),79(till2010),79(till2012),79(till2013),
Farhad Reza,Bangladesh,231(till2006),295(till2007),390(till2008),412(till2011),
Mushfiqur Rahim,Bangladesh,24(till2006),350(till2007),535(till2008),922(till2009),1460(till2010),1987(till2011),2251(till2012),2449(till2013),3153(till2014),3920(till2015),4118(till2016),4576(till2017),5346(till2018),5558(till2019),
Shakib Al Hasan,Bangladesh,361(till2006),968(till2007),1376(till2008),2047(till2009),2834(till2010),3398(till2011),3635(till2012),3688(till2013),3977(till2014),4398(till2015),4650(till2016),5080(till2017),5577(till2018),5717(till2019),
Mehrab Hossain jnr,Bangladesh,186(till2006),203(till2007),204(till2008),276(till2009),
Tamim Iqbal,Bangladesh,455(till2007),1262(till2008),1864(till2009),2640(till2010),3115(till2011),3462(till2012),3702(till2013),3971(till2014),4713(till2015),5120(till2016),5766(till2017),6450(till2018),6636(till2019),
Mahmudullah,Bangladesh,36(till2007),315(till2008),563(till2009),1070(till2010),1374(till2011),1586(till2012),1829(till2013),2123(till2014),2629(till2015),2858(till2016),3218(till2017),3637(till2018),3757(till2019),
Junaid Siddique,Bangladesh,29(till2007),229(till2008),488(till2009),1056(till2010),1196(till2011),
Dhiman Ghosh,Bangladesh,126(till2008),
Mosharraf Hossain,Bangladesh,15(till2008),26(till2016),
Raqibul Hasan,Bangladesh,416(till2008),915(till2009),1231(till2010),1308(till2011),
Nazimuddin,Bangladesh,90(till2008),147(till2012),
Dolar Mahmud,Bangladesh,20(till2008),61(till2009),
Naeem Islam,Bangladesh,87(till2008),302(till2009),544(till2010),671(till2011),731(till2012),894(till2013),975(till2014),
Imrul Kayes,Bangladesh,27(till2008),894(till2010),1315(till2011),1390(till2014),1548(till2015),1873(till2016),1998(till2017),2434(till2018),
Mahbubul Alam,Bangladesh,81(till2009),
Rubel Hossain,Bangladesh,1(till2009),10(till2010),38(till2011),39(till2012),44(till2013),83(till2014),89(till2015),100(till2016),108(till2017),120(till2018),123(till2019),
Shafiul Islam,Bangladesh,52(till2010),102(till2011),103(till2012),109(till2013),124(till2014),126(till2016),
Sohrawordi Shuvo,Bangladesh,59(till2010),98(till2011),
Jahurul Islam,Bangladesh,156(till2010),244(till2012),270(till2013),
Nasir Hossain,Bangladesh,254(till2011),498(till2012),819(till2013),1044(till2014),1231(till2015),1262(till2016),1276(till2017),1281(till2018),
Shuvagata Hom,Bangladesh,70(till2011),
Elias Sunny,Bangladesh,1(till2011),2(till2012),
Abul Hasan,Bangladesh,0(till2012),3(till2013),4(till2014),4(till2015),11(till2018),
Anamul Haque,Bangladesh,195(till2012),261(till2013),892(till2014),950(till2015),1038(till2018),
Mominul Haque,Bangladesh,69(till2012),205(till2013),539(till2014),543(till2015),557(till2018),
Sohag Gazi,Bangladesh,62(till2012),115(till2013),184(till2014),
Ziaur Rahman,Bangladesh,51(till2013),124(till2014),
